x	y	clickSelects	group	ymin	ymax	xmin	xmax
0.0519583754877876	0.0500228414801279	1950	24	0.0454545454545455	0.0500228414801279	0.0454545454545452	0.0584622055210301
0.0664113311172138	0.0500228414801279	1951	24	0.0454545454545455	0.0500228414801279	0.0599075010839714	0.0729151611504563
0.08086428674664	0.0820009136592051	1952	24	0.0454545454545455	0.0820009136592051	0.0743604567133976	0.0873681167798825
0.0953172423760662	0.0591594335312928	1953	24	0.0454545454545455	0.0591594335312928	0.0888134123428238	0.101821072409309
0.109770198005492	0.123115577889447	1954	24	0.0454545454545455	0.123115577889447	0.10326636797225	0.116274028038735
0.124223153634919	0.0865692096847876	1955	24	0.0454545454545455	0.0865692096847876	0.117719323601676	0.130726983668161
0.138676109264345	0.0820009136592051	1956	24	0.0454545454545455	0.0820009136592051	0.132172279231102	0.145179939297587
0.153129064893771	0.09113750571037	1957	24	0.0454545454545455	0.09113750571037	0.146625234860529	0.159632894927013
0.167582020523197	0.0545911375057104	1958	24	0.0454545454545455	0.0545911375057104	0.161078190489955	0.17408585055644
0.182034976152623	0.0682960255824578	1959	24	0.0454545454545455	0.0682960255824578	0.175531146119381	0.188538806185866
0.210940887411476	0.104842393787117	1961	24	0.0454545454545455	0.104842393787117	0.204437057378233	0.217444717444718
0.225393843040902	0.0545911375057104	1962	24	0.0454545454545455	0.0545911375057104	0.21889001300766	0.231897673074145
0.239846798670328	0.0865692096847876	1963	24	0.0454545454545455	0.0865692096847876	0.233342968637086	0.246350628703571
0.254299754299754	0.0637277295568753	1964	24	0.0454545454545455	0.0637277295568753	0.247795924266512	0.260803584332997
0.268752709929181	0.0682960255824578	1965	24	0.0454545454545455	0.0682960255824578	0.262248879895938	0.275256539962423
0.283205665558607	0.0728643216080402	1966	24	0.0454545454545455	0.0728643216080402	0.276701835525364	0.289709495591849
0.297658621188033	0.0682960255824578	1967	24	0.0454545454545455	0.0682960255824578	0.291154791154791	0.304162451221276
0.312111576817459	0.0728643216080402	1968	24	0.0454545454545455	0.0728643216080402	0.305607746784217	0.318615406850702
0.326564532446886	0.0682960255824578	1969	24	0.0454545454545455	0.0682960255824578	0.320060702413643	0.333068362480128
0.341017488076312	0.0774326176336227	1970	24	0.0454545454545455	0.0774326176336227	0.334513658043069	0.347521318109554
0.355470443705738	0.14595705801736	1971	24	0.0454545454545455	0.14595705801736	0.348966613672495	0.36197427373898
0.369923399335164	0.100274097761535	1972	24	0.0454545454545455	0.100274097761535	0.363419569301922	0.376427229368407
0.38437635496459	0.136820465966195	1973	24	0.0454545454545455	0.136820465966195	0.377872524931348	0.390880184997833
0.398829310594017	0.123115577889447	1974	24	0.0454545454545455	0.123115577889447	0.392325480560774	0.405333140627259
0.413282266223443	0.0865692096847876	1975	24	0.0454545454545455	0.0865692096847876	0.4067784361902	0.419786096256685
0.427735221852869	0.0774326176336227	1976	24	0.0454545454545455	0.0774326176336227	0.421231391819627	0.434239051886111
0.442188177482295	0.0682960255824578	1977	24	0.0454545454545455	0.0682960255824578	0.435684347449053	0.448692007515538
0.456641133111721	0.0957058017359525	1978	24	0.0454545454545455	0.0957058017359525	0.450137303078479	0.463144963144964
0.471094088741148	0.100274097761535	1979	24	0.0454545454545455	0.100274097761535	0.464590258707905	0.47759791877439
0.485547044370574	0.12768387391503	1980	24	0.0454545454545455	0.12768387391503	0.479043214337331	0.492050874403816
0.5	0.0545911375057104	1981	24	0.0454545454545455	0.0545911375057104	0.493496169966758	0.506503830033242
0.514452955629426	0.0682960255824578	1982	24	0.0454545454545455	0.0682960255824578	0.507949125596184	0.520956785662669
0.528905911258852	0.09113750571037	1983	24	0.0454545454545455	0.09113750571037	0.52240208122561	0.535409741292095
0.543358866888279	0.100274097761535	1984	24	0.0454545454545455	0.100274097761535	0.536855036855036	0.549862696921521
0.557811822517705	0.0728643216080402	1985	24	0.0454545454545455	0.0728643216080402	0.551307992484462	0.564315652550947
0.572264778147131	0.0728643216080402	1986	24	0.0454545454545455	0.0728643216080402	0.565760948113889	0.578768608180373
0.586717733776557	0.0500228414801279	1987	24	0.0454545454545455	0.0500228414801279	0.580213903743315	0.5932215638098
0.601170689405983	0.0545911375057104	1988	24	0.0454545454545455	0.0545911375057104	0.594666859372741	0.607674519439226
0.61562364503541	0.14595705801736	1989	24	0.0454545454545455	0.14595705801736	0.609119815002167	0.622127475068652
0.630076600664836	0.0637277295568753	1990	24	0.0454545454545455	0.0637277295568753	0.623572770631593	0.636580430698078
0.644529556294262	0.09113750571037	1991	24	0.0454545454545455	0.09113750571037	0.63802572626102	0.651033386327505
0.658982511923688	0.104842393787117	1992	24	0.0454545454545455	0.104842393787117	0.652478681890446	0.665486341956931
0.673435467553114	0.09113750571037	1993	24	0.0454545454545455	0.09113750571037	0.666931637519872	0.679939297586357
0.687888423182541	0.136820465966195	1994	24	0.0454545454545455	0.136820465966195	0.681384593149298	0.694392253215783
0.702341378811967	0.1094106898127	1995	24	0.0454545454545455	0.1094106898127	0.695837548778724	0.708845208845209
0.716794334441393	0.12768387391503	1996	24	0.0454545454545455	0.12768387391503	0.710290504408151	0.723298164474636
0.731247290070819	0.14595705801736	1997	24	0.0454545454545455	0.14595705801736	0.724743460037577	0.737751120104062
0.745700245700246	0.219049794426679	1998	24	0.0454545454545455	0.219049794426679	0.739196415667003	0.752204075733488
0.760153201329672	0.100274097761535	1999	24	0.0454545454545455	0.100274097761535	0.753649371296429	0.766657031362914
0.774606156959098	0.173366834170854	2000	24	0.0454545454545455	0.173366834170854	0.768102326925855	0.78110998699234
0.789059112588524	0.100274097761535	2001	24	0.0454545454545455	0.100274097761535	0.782555282555282	0.795562942621767
0.80351206821795	0.155093650068524	2002	24	0.0454545454545455	0.155093650068524	0.797008238184708	0.810015898251193
0.817965023847377	0.168798538145272	2003	24	0.0454545454545455	0.168798538145272	0.811461193814134	0.824468853880619
0.832417979476803	0.251027866605756	2004	24	0.0454545454545455	0.251027866605756	0.82591414944356	0.838921809510045
0.846870935106229	0.292142530835998	2005	24	0.0454545454545455	0.292142530835998	0.840367105072987	0.853374765139471
0.861323890735655	0.141388761991777	2006	24	0.0454545454545455	0.141388761991777	0.854820060702413	0.867827720768898
0.875776846365081	0.237322978529009	2007	24	0.0454545454545455	0.237322978529009	0.869273016331839	0.882280676398324
0.890229801994508	0.319552306989493	2008	24	0.0454545454545455	0.319552306989493	0.883725971961265	0.89673363202775
0.904682757623934	0.296710826861581	2009	24	0.0454545454545455	0.296710826861581	0.898178927590691	0.911186587657176
0.91913571325336	0.0957058017359525	2010	24	0.0454545454545455	0.0957058017359525	0.912631883220118	0.925639543286602
0.933588668882786	0.241891274554591	2011	24	0.0454545454545455	0.241891274554591	0.927084838849544	0.940092498916029
0.948041624512212	0.113978985838282	2012	24	0.0454545454545455	0.113978985838282	0.94153779447897	0.954545454545455
