x	y	label	showSelected
NA	NA	Andorra	Andorra
NA	NA	United Arab Emirates	United Arab Emirates
NA	NA	Afghanistan	Afghanistan
NA	NA	Antigua and Barbuda	Antigua and Barbuda
NA	NA	Albania	Albania
NA	NA	Armenia	Armenia
NA	NA	Angola	Angola
NA	NA	Argentina	Argentina
NA	NA	American Samoa	American Samoa
NA	NA	Austria	Austria
NA	NA	Australia	Australia
NA	NA	Aruba	Aruba
NA	NA	Azerbaijan	Azerbaijan
NA	NA	Bosnia and Herzegovina	Bosnia and Herzegovina
NA	NA	Barbados	Barbados
NA	NA	Bangladesh	Bangladesh
NA	NA	Belgium	Belgium
NA	NA	Burkina Faso	Burkina Faso
NA	NA	Bulgaria	Bulgaria
NA	NA	Bahrain	Bahrain
NA	NA	Burundi	Burundi
NA	NA	Benin	Benin
NA	NA	Bermuda	Bermuda
NA	NA	Brunei Darussalam	Brunei Darussalam
NA	NA	Bolivia	Bolivia
NA	NA	Brazil	Brazil
NA	NA	Bahamas, The	Bahamas, The
NA	NA	Bhutan	Bhutan
NA	NA	Botswana	Botswana
NA	NA	Belarus	Belarus
NA	NA	Belize	Belize
NA	NA	Canada	Canada
NA	NA	Congo, Dem. Rep.	Congo, Dem. Rep.
NA	NA	Central African Republic	Central African Republic
NA	NA	Congo, Rep.	Congo, Rep.
NA	NA	Switzerland	Switzerland
NA	NA	Cote d'Ivoire	Cote d'Ivoire
NA	NA	Chile	Chile
NA	NA	Cameroon	Cameroon
NA	NA	China	China
NA	NA	Colombia	Colombia
NA	NA	Costa Rica	Costa Rica
NA	NA	Cuba	Cuba
NA	NA	Cape Verde	Cape Verde
NA	NA	Curacao	Curacao
NA	NA	Cyprus	Cyprus
NA	NA	Czech Republic	Czech Republic
NA	NA	Germany	Germany
NA	NA	Djibouti	Djibouti
NA	NA	Denmark	Denmark
NA	NA	Dominica	Dominica
NA	NA	Dominican Republic	Dominican Republic
NA	NA	Algeria	Algeria
NA	NA	Ecuador	Ecuador
NA	NA	Estonia	Estonia
NA	NA	Egypt, Arab Rep.	Egypt, Arab Rep.
NA	NA	Eritrea	Eritrea
NA	NA	Spain	Spain
NA	NA	Ethiopia	Ethiopia
NA	NA	Finland	Finland
NA	NA	Fiji	Fiji
NA	NA	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.
NA	NA	Faeroe Islands	Faeroe Islands
NA	NA	France	France
NA	NA	Gabon	Gabon
NA	NA	United Kingdom	United Kingdom
NA	NA	Grenada	Grenada
NA	NA	Georgia	Georgia
NA	NA	Ghana	Ghana
NA	NA	Greenland	Greenland
NA	NA	Gambia, The	Gambia, The
NA	NA	Guinea	Guinea
NA	NA	Equatorial Guinea	Equatorial Guinea
NA	NA	Greece	Greece
NA	NA	Guatemala	Guatemala
NA	NA	Guam	Guam
NA	NA	Guinea-Bissau	Guinea-Bissau
NA	NA	Guyana	Guyana
NA	NA	Hong Kong SAR, China	Hong Kong SAR, China
NA	NA	Honduras	Honduras
NA	NA	Croatia	Croatia
NA	NA	Haiti	Haiti
NA	NA	Hungary	Hungary
NA	NA	Indonesia	Indonesia
NA	NA	Ireland	Ireland
NA	NA	Israel	Israel
NA	NA	Isle of Man	Isle of Man
NA	NA	India	India
NA	NA	Iraq	Iraq
NA	NA	Iran, Islamic Rep.	Iran, Islamic Rep.
NA	NA	Iceland	Iceland
NA	NA	Italy	Italy
NA	NA	Channel Islands	Channel Islands
NA	NA	Jamaica	Jamaica
NA	NA	Jordan	Jordan
NA	NA	Japan	Japan
NA	NA	Kenya	Kenya
NA	NA	Kyrgyz Republic	Kyrgyz Republic
NA	NA	Cambodia	Cambodia
NA	NA	Kiribati	Kiribati
NA	NA	Comoros	Comoros
NA	NA	St. Kitts and Nevis	St. Kitts and Nevis
NA	NA	Korea, Dem. Rep.	Korea, Dem. Rep.
NA	NA	Korea, Rep.	Korea, Rep.
NA	NA	Kosovo	Kosovo
NA	NA	Kuwait	Kuwait
NA	NA	Cayman Islands	Cayman Islands
NA	NA	Kazakhstan	Kazakhstan
NA	NA	Lao PDR	Lao PDR
NA	NA	Lebanon	Lebanon
NA	NA	St. Lucia	St. Lucia
NA	NA	Liechtenstein	Liechtenstein
NA	NA	Sri Lanka	Sri Lanka
NA	NA	Liberia	Liberia
NA	NA	Lesotho	Lesotho
NA	NA	Lithuania	Lithuania
NA	NA	Luxembourg	Luxembourg
NA	NA	Latvia	Latvia
NA	NA	Libya	Libya
NA	NA	Morocco	Morocco
NA	NA	Monaco	Monaco
NA	NA	Moldova	Moldova
NA	NA	Montenegro	Montenegro
NA	NA	St. Martin (French part)	St. Martin (French part)
NA	NA	Madagascar	Madagascar
NA	NA	Marshall Islands	Marshall Islands
NA	NA	Macedonia, FYR	Macedonia, FYR
NA	NA	Mali	Mali
NA	NA	Myanmar	Myanmar
NA	NA	Mongolia	Mongolia
NA	NA	Macao SAR, China	Macao SAR, China
NA	NA	Northern Mariana Islands	Northern Mariana Islands
NA	NA	Mauritania	Mauritania
NA	NA	Malta	Malta
NA	NA	Mauritius	Mauritius
NA	NA	Maldives	Maldives
NA	NA	Malawi	Malawi
NA	NA	Mexico	Mexico
NA	NA	Malaysia	Malaysia
NA	NA	Mozambique	Mozambique
NA	NA	Namibia	Namibia
NA	NA	New Caledonia	New Caledonia
NA	NA	Niger	Niger
NA	NA	Nigeria	Nigeria
NA	NA	Nicaragua	Nicaragua
NA	NA	Netherlands	Netherlands
NA	NA	Norway	Norway
NA	NA	Nepal	Nepal
NA	NA	New Zealand	New Zealand
NA	NA	Oman	Oman
NA	NA	Panama	Panama
NA	NA	Peru	Peru
NA	NA	French Polynesia	French Polynesia
NA	NA	Papua New Guinea	Papua New Guinea
NA	NA	Philippines	Philippines
NA	NA	Pakistan	Pakistan
NA	NA	Poland	Poland
NA	NA	Puerto Rico	Puerto Rico
NA	NA	West Bank and Gaza	West Bank and Gaza
NA	NA	Portugal	Portugal
NA	NA	Palau	Palau
NA	NA	Paraguay	Paraguay
NA	NA	Qatar	Qatar
NA	NA	Romania	Romania
NA	NA	Serbia	Serbia
NA	NA	Russian Federation	Russian Federation
NA	NA	Rwanda	Rwanda
NA	NA	Saudi Arabia	Saudi Arabia
NA	NA	Solomon Islands	Solomon Islands
NA	NA	Seychelles	Seychelles
NA	NA	Sudan	Sudan
NA	NA	Sweden	Sweden
NA	NA	Singapore	Singapore
NA	NA	Slovenia	Slovenia
NA	NA	Slovak Republic	Slovak Republic
NA	NA	Sierra Leone	Sierra Leone
NA	NA	San Marino	San Marino
NA	NA	Senegal	Senegal
NA	NA	Somalia	Somalia
NA	NA	Suriname	Suriname
NA	NA	South Sudan	South Sudan
NA	NA	Sao Tome and Principe	Sao Tome and Principe
NA	NA	El Salvador	El Salvador
NA	NA	Sint Maarten (Dutch part)	Sint Maarten (Dutch part)
NA	NA	Syrian Arab Republic	Syrian Arab Republic
NA	NA	Swaziland	Swaziland
NA	NA	Turks and Caicos Islands	Turks and Caicos Islands
NA	NA	Chad	Chad
NA	NA	Togo	Togo
NA	NA	Thailand	Thailand
NA	NA	Tajikistan	Tajikistan
NA	NA	Timor-Leste	Timor-Leste
NA	NA	Turkmenistan	Turkmenistan
NA	NA	Tunisia	Tunisia
NA	NA	Tonga	Tonga
NA	NA	Turkey	Turkey
NA	NA	Trinidad and Tobago	Trinidad and Tobago
NA	NA	Tuvalu	Tuvalu
NA	NA	Tanzania	Tanzania
NA	NA	Ukraine	Ukraine
NA	NA	Uganda	Uganda
NA	NA	United States	United States
NA	NA	Uruguay	Uruguay
NA	NA	Uzbekistan	Uzbekistan
NA	NA	St. Vincent and the Grenadines	St. Vincent and the Grenadines
NA	NA	Venezuela, RB	Venezuela, RB
NA	NA	Virgin Islands (U.S.)	Virgin Islands (U.S.)
NA	NA	Vietnam	Vietnam
NA	NA	Vanuatu	Vanuatu
NA	NA	Samoa	Samoa
NA	NA	Yemen, Rep.	Yemen, Rep.
NA	NA	South Africa	South Africa
NA	NA	Zambia	Zambia
NA	NA	Zimbabwe	Zimbabwe
